name,picurl
Marlon Brando,Marlon_Brando_publicity_for_One-Eyed_Jacks.png
Eileen Brennan,Eileen_Brennan_1963.png
Walter Brennan,Walter_brennan_real_mccoys_1958.JPG
Abigail Breslin,Abigail_Breslin_by_Gage_Skidmore.jpg
Jeff Bridges,Jeff_Bridges_by_Gage_Skidmore_3.jpg
Jim Broadbent,Jim_Broadbent_2012.jpg
Adrien Brody,Adrien_Brody_Cannes_2014.jpg
Josh Brolin,Josh_Brolin_SDCC_2014.jpg
Albert Brooks,Albert_Brooks_at_%27Drive%27_premiere_TIFF_9.10.11.jpg
Yul Brynner,Publicity_press_photo_of_Yul_Brynner_in_1960_(cropped).jpg
Geneviève Bujold,Genevi%C3%A8ve_Bujold_-_1969.jpg
Sandra Bullock,Sandra_Bullock_in_July_2013.jpg
Victor Buono,Victor_Buono_1969.png
Billie Burke,Studio_publicity_Billie_Burke.JPG
Catherine Burns,Catherine_Burns_1974.JPG
George Burns,George_Burns_1961.JPG
Ellen Burstyn,Ellen_Burstyn_at_the_2009_Tribeca_Film_Festival.jpg
Richard Burton,Richard_Burton_-_The_Robe.jpg
Gary Busey,CUN2008_Oscar_party_Gary_Busey.jpg
Red Buttons,Red_Buttons_-_1959.jpg
Spring Byington,Studio_publicity_Spring_Byington.jpg
James Caan,James_Caan_(1976).jpg
Adolph Caesar,AdolphCaesar.jpg
Nicolas Cage,Nicolas_Cage_Deauville_2013.jpg
James Cagney,"James_cagney_promo_photo_(cropped,_centered).jpg"
Michael Caine,"Sir_Michael_Caine,_28th_EFA_Awards_2015,_Berlin_(cropped).jpg"
Louis Calhern,Louis_Calhern_in_Woman_Wanted_trailer.jpg
Dyan Cannon,Dyan_Cannon_1950s-cropped.jpg
Steve Carell,Steve_Carell_November_2014.jpg
Art Carney,Art_Carney_-_1959.jpg
Leslie Caron,Leslie_Caron_lunettes.jpg
Diahann Carroll,Diahann_Carroll_1976.JPG
Nancy Carroll,Nancy_Carroll_-_Willow_Green.jpg
Peggy Cass,Peggy_Cass_1973.JPG
John Cassavetes,John_Cassavetes_Johnny_Staccato_1959.jpg
Seymour Cassel,Seymour_Cassel2.jpg
Richard S. Castellano,The_Super_cast_1972_(cropped).JPG
Keisha Castle-Hughes,Keisha_Castle-Hughes_at_TIFF_2009_(headshot).jpg
George Chakiris,George_Chakiris_2019.jpg
Timothée Chalamet,Timoth%C3%A9e_Chalamet_2017_Berlinale.jpg
Jeff Chandler,Jeff_Chandler_-_1958.jpg
Carol Channing,Carol_Channing_colour_Allan_Warren.jpg
Stockard Channing,Stockard_Channing_1984_crop.JPG
Charlie Chaplin,Charlie_Chaplin_portrait.jpg
Jessica Chastain,SDCC_2015_-_Jessica_Chastain_(19111308673)_(cropped).jpg
Ruth Chatterton,Chatterton_NM330.jpg
Don Cheadle,Don_Cheadle_in_2019_at_the_public_party.jpg
Michael Chekhov,Michael_Chekhov_1910%D1%85.jpg
Cher,Cher_in_2019_cropped.jpg
Maurice Chevalier,Maurice_Chevalier-publicity.jpg
Julie Christie,Julie_Christie_-_1966.jpg
Thomas Haden Church,Thomas_Haden_Church_at_the_2009_Tribeca_Film_Festival.jpg
Diane Cilento,"Diane_Cilento,_1954.jpg"
Candy Clark,Candy_Clark_in_Handle_with_Care.jpg
Patricia Clarkson,Patricia_Clarkson_Press_Conference_The_Party_Berlinale_2017_01_(cropped_2).jpg
Jill Clayburgh,Jill_Clayburgh.JPG
Montgomery Clift,MontgomeryClift.jpg
George Clooney,George_Clooney_2016.jpg
Glenn Close,Glenn_Close_-_Guardians_of_the_Galaxy_premiere_-_July_2014_(cropped).jpg
Lee J. Cobb,Lee_J._Cobb_1960s.JPG
Charles Coburn,"Charles_Coburn,_actor,_USA,_at_Kastrup_Airport_CPH,_Copenhagen.jpg"
James Coburn,James_Coburn_The_Californians_1959.JPG
James Coco,James_Coco_1973.JPG
Claudette Colbert,Claudette_colbert.jpg
Toni Collette,Toni_Collette_by_Gage_Skidmore.jpg
Patricia Collinge,Patricia_Collinge_1941.JPG
Pauline Collins,Pauline_Collins_in_November_2012.jpg
Olivia Colman,Olivia_Colman_at_Moet_BIFA_2014_(cropped).jpg
Ronald Colman,Ronald_Colman_-_publicity.jpg
Betty Compson,Betty_Compson_-_1930.jpg
Jennifer Connelly,Jennifer_Connelly_2012.jpg
Sean Connery,Sean_Connery_(1983).jpg
Tom Conti,Tom_Conti_Romantic_Comedy_Dec_2007.jpg
Bradley Cooper,Glasto17-44_(35547413626)_Cropped.jpg
Chris Cooper,Chris_Cooper_at_the_2009_Tribeca_Film_Festival.jpg
Gary Cooper,Gary_Cooper_(1952).jpg
Gladys Cooper,Gladys-Cooper_Ggbain.jpg
Jackie Cooper,Jackie_Cooper_1956.JPG
Ellen Corby,Edgar_Bergen_Ellen_Corby_The_Homecoming_Waltons_1974_(cropped).JPG
Valentina Cortese,Valentina_Cortese1941.png
Kevin Costner,Kevin_Costner_2016.jpg
Marion Cotillard,Marion_Cotillard_at_2019_Cannes.jpg
Tom Courtenay,Tom_Courtenay_Berlin_2015.jpg
Jeanne Crain,"Jeanne_Crain_by_Phil_Stern,_1954.jpg"
Bryan Cranston,Bryan_Cranston_at_the_2018_Berlin_Film_Festival_(2).jpg
Broderick Crawford,Broderick_Crawford_1970.JPG
Joan Crawford,JCrawford39.jpg
Donald Crisp,The_Sea_Hawk_(1940)_trailer_4.jpg
James Cromwell,James_Cromwell_2010.jpg
Hume Cronyn,Hume_Cronyn_in_The_Postman_Always_Rings_Twice_trailer.jpg
Rupert Crosse,Bill_Cosby_Rupert_Crosse_Beah_Richards_Bill_Cosby_Show_1970.JPG
Russell Crowe,Russell_Crowe_(33994020424).jpg
Tom Cruise,Tom_Cruise_by_Gage_Skidmore_2.jpg
Penélope Cruz,Premios_Goya_2018_-_Pen%C3%A9lope_Cruz.jpg
Benedict Cumberbatch,BCumberbatch_Comic-Con_2019.jpg
Quinn Cummings,QC_Green_Sweater.jpg
Tony Curtis,Tony_Curtis_1958.jpg
Joan Cusack,Joan_Cusack_(h).jpg
Willem Dafoe,Willem_Dafoe_Cannes_2019.jpg
Dan Dailey,Dan_Dailey_in_Washington_Melodrama_trailer.jpg
John Dall,John_Dall.jpg
Matt Damon,Matt_Damon_TIFF_2015.jpg
Dorothy Dandridge,Dorothy_Dandridge_Cain%27s_Hundred_1962.jpg
Bobby Darin,Bobby_Darin_1959.JPG
Jane Darwell,Jane_Darwell_1945.JPG
Bette Davis,BETTEDavis_(cropped).jpg
Geena Davis,Geena_Davis_2013_(cropped).jpg
Judy Davis,Judy_Davis_-_Eye_of_The_Storm.jpg
Viola Davis,Viola_Davis_by_Gage_Skidmore.jpg
Bruce Davison,Bruce_Davison_52nd_Annual_Publicists_Awards_-_Feb_2015_(cropped).jpg
Andra Day,Andra_Day_photo_WMG_(cropped).jpg
Doris Day,Doris_Day_-_1957.JPG
Daniel Day-Lewis,"Daniel_Day-Lewis,_Jaguar,_Mille_Miglia_2013_cropped.jpg"
Olivia de Havilland,Olivia_DeHavilland-2.JPG
Robert De Niro,Robert_De_Niro_Cannes_2016.jpg
Vittorio De Sica,"S_Kragujevic,_Vittorio_De_Sica,_1959.JPG"
Marina de Tavira,Marina_de_Tavira_1_(cropped).jpg
James Dean,James_Dean_in_Rebel_Without_a_Cause.jpg
Ruby Dee,Ruby_Dee_-_1972.jpg
Benicio del Toro,Benicio_Del_Toro_-_Guardians_of_the_Galaxy_premiere_-_July_2014_(cropped).jpg
William Demarest,Palm_Beach_Story-Bill_Demarest.JPG
Judi Dench,Judi_Dench_at_the_BAFTAs_2007_(cropped).jpg
Catherine Deneuve,Catherine_Deneuve_Berlinale_2017.jpg
Sandy Dennis,Sandy_Dennis.jpg
Gérard Depardieu,G%C3%A9rard_Depardieu_(Berlin_Film_Festival_2010).jpg
Johnny Depp,Johnny_Depp-2757_(cropped).jpg
Bruce Dern,Bruce_Dern_by_Gage_Skidmore.jpg
Laura Dern,Laura_Dern_Deauville_2017.jpg
Brandon deWilde,Brandon_deWilde_early_1950s.JPG
Leonardo DiCaprio,Leonardo_Dicaprio_Cannes_2019.jpg
Marlene Dietrich,Marlene_Dietrich_02.jpg
Matt Dillon,Matt_Dillon_2010.jpg
Melinda Dillon,"Melinda_Dillon,_1976.jpg"
Richard Dix,Film_actor_Richard_Dix_(SAYRE_23518).jpg
Robert Donat,GoodbyeMrChipsTrailer1.jpg
Brian Donlevy,Brian_Donlevy_1955.jpg
Kirk Douglas,Studio_publicity_Kirk_Douglas.jpg
Melvyn Douglas,Douglas-portrait.jpg
Michael Douglas,Michael_Douglas_C%C3%A9sar_2016_3.jpg
Brad Dourif,Brad_Dourif_2002.jpg
Robert Downey Jr.,Robert_Downey_Jr_2014_Comic_Con_(cropped).jpg
Louise Dresser,Louise_Dresser_in_The_Eagle_(1925).jpg
Marie Dressler,Marie_Dressler_-_1930.jpg
Richard Dreyfuss,Richard_Dreyfuss_(46291399092).jpg
Adam Driver,Star_Wars-_The_Last_Jedi_Japan_Premiere_Red_Carpet-_Adam_Driver_(27163437599)_(cropped).jpg
Minnie Driver,Minnie_Driver_2010.jpg
Jean Dujardin,Christophe_Lambert_et_Jean_Dujardin_(Cropped).jpg
Olympia Dukakis,Olympia_Dukakis_2019.jpg
Patty Duke,Patty_Duke_1975.JPG
Faye Dunaway,Fay_Dunaway_1997.jpg
Michael Clarke Duncan,MClarkeDuncan021109-R106_(50094589037).jpg
Irene Dunne,Studio_photograph_of_Irene_Dunne.jpg
Mildred Dunnock,"Mildred_Dunnock,_1956.jpg"
Charles Durning,CharlesDurningMay2008.jpg
Robert Duvall,Robert_Duvall_2_by_David_Shankbone_(cropped).jpg
Jeanne Eagels,Jeanne_Eagels_1923.jpg
Clint Eastwood,Clint_Eastwood_at_2010_New_York_Film_Festival.jpg
Samantha Eggar,Samantha_Eggar.jpg
Jesse Eisenberg,Jesse_Eisenberg_by_Gage_Skidmore.jpg
Chiwetel Ejiofor,Chiwetel_Ejiofor_by_Gage_Skidmore.jpg
Denholm Elliott,Actor_Denholm_Elliott.jpg
Sam Elliott,TIFF_2018_Samuel_Elliott_(44592132581)_(cropped).jpg
Hope Emerson,Studio_publicity_Hope_Emerson.jpg
Cynthia Erivo,Cynthia_Erivo_2018.png
Stuart Erwin,Stuart_Erwin.jpg
Edith Evans,Dame_Edith_Evans_4_Allan_Warren.jpg
Peter Falk,Columbo_Peter_Falk_1973.JPG
Vera Farmiga,Vera_Farmiga_(43676389342).jpg
Richard Farnsworth,Straightstory.jpg
Michael Fassbender,Michael_Fassbender_by_Gage_Skidmore_2015.jpg
José Ferrer,Jose_Ferrer_-_1952.jpg
Sally Field,Sally_Field_(11205)_(cropped).jpg
Ralph Fiennes,Ralph_Fiennes_from_%22The_White_Crow%22_at_Opening_Ceremony_of_the_Tokyo_International_Film_Festival_2018_(31747095048).jpg
Peter Finch,Peter_Finch_2.jpg
Frank Finlay,Frank_Finlay.jpg
Colin Firth,Colin_Firth_(36124162705)_(cropped).jpg
Peter Firth,Firth.jpg
Laurence Fishburne,National_Memorial_Day_Concert_2017_(34117818524)_(cropped).jpg
Barry Fitzgerald,Barry_Fitzgerald_1945.jpg
Geraldine Fitzgerald,Geraldine_Fitzgerald_1956.jpg
Louise Fletcher,Louise_Fletcher_2014.jpg
Nina Foch,Nina_Foch_1945_Escape_in_the_Fog.jpg
Henry Fonda,Henry_Fonda_in_Warlock.jpg
Jane Fonda,Jane_Fonda_Cannes_2015.jpg
Peter Fonda,Peter_Fonda_2009.jpg
Joan Fontaine,Joan_Fontaine_in_1943.jpg
Lynn Fontanne,Lynn_Fontanne_portrait2.jpg
Harrison Ford,PA-43286804.jpg
Frederic Forrest,Frederic_Forrest_1993.jpg
Robert Forster,Robert_Forster_2009.jpg
Jodie Foster,Jodie_Foster_C%C3%A9sars_2011_2_(cropped).jpg
Jamie Foxx,Jamie_Foxx_by_Gage_Skidmore.jpg
Anthony Franciosa,Tony_Franciosa_-_1969.jpg
James Franco,"James_Franco_4,_2013.jpg"
Morgan Freeman,Morgan_Freeman_Deauville_2018.jpg
Brenda Fricker,Brenda_Fricker_(2106633526)_(cropped).jpg
Clark Gable,Clark_Gable_-_publicity.JPG
Lady Gaga,210120-D-WD757-1720_(50861332387)_(cropped).jpg
Greta Garbo,Garbo_in_Inspiration.jpg
Andy García,Andy_Garcia_at_the_2009_Deauville_American_Film_Festival-01A.jpg
Vincent Gardenia,Vincent_Gardenia_at_1988_Academy_Awards.JPG
Ava Gardner,Ava_Gardner_Show_Boat_1951.jpg
Andrew Garfield,Andrew_Garfield_by_Gage_Skidmore_(cropped).jpg
John Garfield,John_Garfield_-_1942.jpg
William Gargan,William_Gargan_circa_1950s.JPG
Judy Garland,JUDYGarland.jpg
James Garner,James_Garner_Bret_Maverick.JPG
Teri Garr,Teri_Garr_in_1978.jpg
Greer Garson,Greer_Garson-publicity.JPG
Janet Gaynor,Janet-Gaynor_1931.jpg
Leo Genn,Leo_Genn_in_The_Miniver_Story.JPG
Chief Dan George,ChiefDan_George.jpg
Gladys George,Gladys_George_2.jpg
Paul Giamatti,Paul_Giamatti_2010_TIFF.jpg
Giancarlo Giannini,Giancarlo_Giannini.jpg
Jack Gilford,Jack_Gilford.jpg
Lillian Gish,Lillian_Gish-edit1.jpg
Jackie Gleason,Publicity_photo_young_gleason.jpg
James Gleason,James_Gleason_in_Meet_John_Doe_trailer.jpg
Paulette Goddard,Paulette_Goddard_1947.jpg
Whoopi Goldberg,Whoopi_Goldberg_(2011).jpg
Thomas Gomez,Thomas_Gomez.jpg
Ruth Gordon,Ruth-Gordon-1930.jpg
Ryan Gosling,Ryan_Gosling_in_2018.jpg
Louis Gossett Jr.,LGJR_in_LA._2017_(33609346485)_(cropped).jpg
Elliott Gould,Elliott_Gould_-_1986.jpg
Gloria Grahame,Gloria_Grahame_(1947_portrait).jpg
Cary Grant,"Grant,_Cary_(Suspicion)_01_Crisco_edit.jpg"
Lee Grant,Lee_Grant_1967.jpg
Richard E. Grant,Richard_E._Grant_2018.jpg
Bonita Granville,Studio_publicity_Bonita_Granville.jpg
Graham Greene,"Graham_Greene_angol_%C3%ADr%C3%B3,_1975_Fortepan_84697.jpg"
Sydney Greenstreet,Wolfe-Greenstreet-1950.jpg
Joel Grey,Joel_Grey_2014.jpg
Corinne Griffith,Corinne-griffith.jpg
Hugh Griffith,Hugh_griffith_publicity_photo.jpg
Melanie Griffith,Melanie_Griffith_2016_crop.jpg
Rachel Griffiths,Rachel_Griffiths_2012_(cropped).jpg
Alec Guinness,Sir_Alec_Guinness_Allan_Warren_(2).jpg
Edmund Gwenn,Edmund_Gwenn_1953.jpg
Jake Gyllenhaal,Jake_Gyllenhaal_2019_by_Glenn_Francis.jpg
Maggie Gyllenhaal,Maggie_Gyllenhaal_2021.jpg
Joan Hackett,Joan_Hackett_1969.JPG
Gene Hackman,Gene_Hackman_-_1972.jpg
Jean Hagen,Jean_Hagen_1955.jpg
Jackie Earle Haley,Jackie_Earle_Haley_at_WonderCon_2010_4.JPG
Tom Hanks,Tom_Hanks_TIFF_2019.jpg
Marcia Gay Harden,Marcia_Gay_Harden_2013_(cropped).jpg
Ann Harding,Ann_Harding_1930.jpg
Tom Hardy,Tom_Hardy_by_Gage_Skidmore.jpg
Woody Harrelson,Woody_Harrelson_October_2016.jpg
Ed Harris,Ed_Harris_by_Gage_Skidmore.jpg
Julie Harris,Julie_Harris_1973.JPG
Naomie Harris,Naomie_Harris_2014.jpg
Richard Harris,Richard_Harris_2001.jpg
Rosemary Harris,Rosemary_Harris_Spiderman_2007_Shankbone.jpg
Rex Harrison,Rex_Harrison_Allan_Warren.jpg
Elizabeth Hartman,Elizabeth_Hartman_(1966_photo).jpg
Laurence Harvey,Laurence_Harvey_Allan_Warren.jpg
Anne Hathaway,Anne_Hathaway_at_MIFF_(cropped).jpg
Ethan Hawke,Ethan_Hawke_2018.jpg
Sally Hawkins,Sally_Hawkins_Berlinale_2017.jpg
Goldie Hawn,Goldie_Hawn_at_TED_2008_cropped.jpg
Nigel Hawthorne,Nigel_Hawthorne_photo.jpg
Sessue Hayakawa,Sessue_Hayakawa_1918_(Fred_Hartsook).jpg
Salma Hayek,Salma_Hayek-9894.jpg
Helen Hayes,Promotional_photograph_of_Helen_Hayes.jpg
Susan Hayward,Susan_Hayward_1953.jpg
Eileen Heckart,EHeckhart_(crop_and_brighter).jpg
Lucas Hedges,Lucas_Hedges_2017.png
Van Heflin,"Heflin,_Van.jpg"
Mariel Hemingway,"Mariel_Hemingway_headshot,_free_use.jpg"
Katharine Hepburn,Katharine_Hepburn_promo_pic.jpg
Barbara Hershey,Barbara_Hershey_by_Gage_Skidmore.jpg
Charlton Heston,Charlton_Heston.jpg
Jonah Hill,Jonah_Hill-4939_(cropped)_(cropped).jpg
Wendy Hiller,Wendy_Hiller_in_Sailor_of_the_King.jpg
Judd Hirsch,Judd_Hirsch_-_1967.jpg
Dustin Hoffman,Dustin_Hoffman_Quartet_avp_2013_2.jpg
Philip Seymour Hoffman,Philip_Seymour_Hoffman_2011.jpg
Hal Holbrook,Hal_Holbrook_Our_Town_1977_(cropped).jpg
William Holden,WILLIAMHolden.jpg
Judy Holliday,JUDYHolliday.jpg
Celeste Holm,Studio_publicity_Celeste_Holm.jpg
Ian Holm,Ian_Holm.jpg
Anthony Hopkins,AnthonyHopkins10TIFF.jpg
Miriam Hopkins,MiriamHopkins.jpg
Dennis Hopper,Dennis_Hopper_Cannes_2008_(cropped).jpg
Bob Hoskins,Bob_hoskins_filming_ruby_blue_cropped_(cropped).jpg
Djimon Hounsou,Djimon_Hounsou_by_Gage_Skidmore_2.jpg
John Houseman,John_Houseman_-_1980.jpg
Leslie Howard,Leslie_Howard_GWTW.jpg
Terrence Howard,Terrence_Howard_-_Monte-Carlo.jpg
Trevor Howard,Trevor_Howard_Allan_Warren.jpg
Jennifer Hudson,Jennifer-hudson-gesf-2018-8400.jpg
Kate Hudson,Kate_Hudson_(8033413872)_(cropped).jpg
Rock Hudson,"Rock_Hudson_by_Ray_Jones,_c._1955_(cropped).jpg"
Felicity Huffman,FelicityHuffmanHWoFMar2012.jpg
Tom Hulce,TomHulce_(cropped).jpg
Josephine Hull,Josephine_Hull_face.png
Arthur Hunnicutt,Arthur_Hunnicutt_in_Stars_in_My_Crown_trailer.jpg
Helen Hunt,HelenHunt@ambiente2015.JPG
Linda Hunt,Linda_Hunt.jpg
Holly Hunter,Holly_Hunter_by_Gage_Skidmore.jpg
Kim Hunter,Kim_Hunter._cph.3b23243.jpg
Isabelle Huppert,Isabelle_Huppert_Cannes_2018.jpg
John Hurt,John_Hurt_at_the_London_premiere_of_Tinker_Tailor_Soldier_Sp.png
William Hurt,History_of_Violence_002_(7271227040).jpg
Ruth Hussey,RUTHussey.jpg
Anjelica Huston,Anjelica_Huston_(46954445875)_(cropped).jpg
John Huston,John_Huston_-_publicity.JPG
Walter Huston,Walter_Huston_-_1950.jpg
Timothy Hutton,TimothyHutton08TIFF.jpg
Martha Hyer,Martha_Hyer_Sabrina.jpg
John Ireland,JohnIreland.jpg
Jeremy Irons,Jeremy_Irons.jpg
Amy Irving,Amy_Irving_(1989).jpg
Burl Ives,Burl_Ives_(Cat_on_a_Hot_Tin_Roof)_1958.jpg
Hugh Jackman,Logan_Japan_Premiere_Red_Carpet-_Hugh_Jackman_(38445328406)_(rotated).jpg
Glenda Jackson,Glenda_Jackson.JPG
Samuel L. Jackson,Samuel_L._Jackson_2019_by_Glenn_Francis.jpg
Richard Jaeckel,Richard-jaeckel-trailer.jpg
Sam Jaffe,Sam_Jaffe_David_Zorba_Ben_Casey.jpg
Dean Jagger,Dean_Jagger_The_Twilight_Zone_1961.JPG
Allison Janney,Allison_Janney_Oct_2014_(cropped).jpg
Emil Jannings,Emil_Jannings_-_no_watermark.jpg
Marianne Jean-Baptiste,Marianne_Jean_Baptiste_by_RealTVfilms.jpg
Richard Jenkins,Fantastic_Fest_Red_Carpet_Bone_Tomahawk-2073_(28896050790)_(cropped).jpg
Scarlett Johansson,"Scarlett_Johansson_by_Gage_Skidmore_2_(cropped,_2).jpg"
Glynis Johns,Glynis_Johns_-_still.jpg
Celia Johnson,Celia_Johnson.jpg
Angelina Jolie,Angelina_Jolie_2_June_2014_(cropped).jpg
Carolyn Jones,Carolyn_Jones_1956.jpg
Felicity Jones,Felicity_Jones_December_2016.jpg
James Earl Jones,James_Earl_Jones_(8516667383).jpg
Jennifer Jones,JENNIFERjones.jpg
Shirley Jones,Shirley_Jones_-_agency_photo_1970s.jpg
Tommy Lee Jones,Tommy_Lee_Jones_2017.jpg
Katy Jurado,KatyJurado.jpg
Madeline Kahn,Madeline_Kahn_publicity.jpg
Daniel Kaluuya,Daniel_Kaluuya_(2017).jpg
Ida Kamińska,Ida_Kaminska.jpg
Carol Kane,Carol_Kane_(2018)_(cropped).jpg
Diane Keaton,Diane_Keaton_2012-1_(cropped).jpg
Lila Kedrova,Lila_Kedrova_(1965).jpg
Catherine Keener,Catherine_Keener_2014_(cropped).jpg
Harvey Keitel,Harvey_Keitel_Cannes_2015.jpg
Cecil Kellaway,Cecil_Kellaway_in_The_Postman_Always_Rings_Twice_trailer.jpg
Sally Kellerman,Sally_Kellerman_-_Mash.jpg
Gene Kelly,Gene_kelly.jpg
Grace Kelly,Grace_Kelly_MGM_photo.jpg
Nancy Kelly,Nancy_Kelly_1955.JPG
